id,name,score,label_bin
210545,creamy country chicken and vegetables,0.1981443213483738,1
221893,roasted vegetable   lentil salad,0.1950396988827401,1
230580,ma aloubeh,0.1913356168738226,1
186080,lentils   jacob s guile,0.1885828540943729,1
19255,onion roasted chicken and vegetables,0.1820621348632574,1
428451,quick   easy coconut brown lentils  vegan,0.1783576014551162,1
442309,caribbean stewed lentils,0.1765610013493635,1
382735,fakess,0.175704469738066,1
327756,creamy parmesan rice with chicken,0.1753763638749386,1
493757,lentils with chicken  ww,0.1729019251358422,1
395569,crock pot chicken with sweet potatoes,0.1722362443012798,1
12420,chicken avocado sandwich wrap,0.167633263466408,1
428339,mjadra   lentils and rice,0.1669695633081975,1
439797,basic french lentils,0.1669098993716053,1
203179,chicken   vegetables with creamy mustard herb sauce   crock,0.1656564047629222,1
10528,roasted chicken and vegetables,0.165345387539181,1
145357,masoor daal   indian red lentils,0.1652026319927344,1
133780,chicken stew for babies,0.1650953531033539,1
28005,pineapple fried rice from cooked  leftover  rice and chicken,0.1648056348668194,1
66735,chicken with red lentils,0.1638006693283993,1
55065,solo poached lemon chicken and vegetables,0.1634370056825714,1
468309,indian style lentils,0.1616603554140302,1
441028,crockpot chicken   rice,0.1611375557559106,1
868,lentil bulghur salad,0.1608452862776774,1
429335,savory pumpkin brown lentils,0.1590298732650936,1
38693,curried red lentils,0.1588500906991938,1
402993,sweet and sour chicken and rice,0.158806168702376,1
414893,spicy lentils with cornbread,0.1580479907147,1
164473,roast chicken with potatoes   garlic,0.1564217312266057,1
12765,baked rice and lentils,0.1562690134793705,1
302189,yiayia s chicken and rice,0.1548428633044163,1
135915,red lentil and watercress salad,0.1538073589508444,1
160981,lentils with rice,0.1534520344427211,1
55141,curried lentil and cashew salad,0.1534359834547711,1
493107,greek lentils,0.1533889351661002,1
460357,roast chicken drumsticks and vegetables,0.1531921777787744,1
416178,indian dhal,0.1530405828866157,1
192058,curried lentils and vegetables,0.1527251961807997,1
104094,pepsi chicken   rice,0.1524423020013009,1
51858,mini chicken roll ups with lentils,0.1511681192242391,1
217350,lentils stew,0.1504267891962674,1
58597,sweet and sour lentils over brown rice,0.1499901600460678,1
412228,easy lentil tacos,0.1492610350054707,1
510839,basic lentils,0.1491813088151815,1
192628,red lentil loaf,0.1489993340781208,1
67242,moroccan lentil salad  healthy,0.1489341522671963,1
382512,chicken casserole for dogs,0.1487597248089182,1
192138,herbed chicken and vegetables,0.1484520584198334,1
243334,sweet and spicy chicken fried rice,0.1482365699189909,1
428547,lentils and couscous,0.148009963779266,1
205638,lentil and yogurt salad,0.1479147713437953,1
504317,moroccan lentils and couscous,0.1474986332474887,1
308658,honey mustard roasted chicken with squash,0.147392847206232,1
322497,mujadarah   lentils with rice   middle east  palestine,0.146986253426005,1
393521,easy one pot lentils and rice,0.1468260328016498,1
29225,cup a rice,0.1466080088442782,1
22749,indian lentils and rice soup,0.146028350029868,1
309272,sloppy joe lentils  slow cooker or crock pot,0.1458726611940985,1
173439,healthy tuna steak  rice and veg,0.1457730768568661,1
33189,lentils with fried onions,0.1454445229363919,1
12397,garlic chicken  lentils and rice,0.1449624514539672,1
211587,india spice chicken and lentils,0.1448779158249305,1
368069,garlic roast chicken  barefoot contessa,0.144852910776572,1
434883,quick and easy italian chicken and rice,0.1448249995597116,1
274004,pondicherry lentils,0.1446404532685627,1
39446,koshari,0.1446164067335158,1
85328,lenten lentils  oaxacan style,0.1442802504218773,1
212964,fakorizo   lentils with rice,0.1439502916138196,1
31781,country chicken and vegetables  crock pot,0.1437424416522929,1
216717,beefy rice pilaf with lentils,0.1437155126466572,1
423981,almond and pistachio rice with chicken,0.1431612488820006,1
492976,chicken kabouli  al batena style,0.1430891397756743,1
303699,simple dal,0.1427608422372168,1
76989,healthy gumbo  dont know why its called gumbo,0.1426768732920778,1
13445,israeli rice and lentil stew with cumin and garlic,0.1426386317728395,1
428189,chicken with feta sauce,0.1421580350286734,1
93961,grilled chicken and veggie kabobs atop sage rice,0.1420389613856794,1
222913,indian lentil pilaf,0.1420029374341506,1
141796,mujadrah   lentils and rice,0.1418700073785932,1
409854,lentils and potatoes curry,0.1417818176328932,1
108959,boston baked lentils,0.1416403324879484,1
397558,lively lentils,0.1414463063365199,1
81339,palestinian lentils and rice with crispy onions,0.1413817254513818,1
